term,justiceName,MQscore,MQrank,MQswing.total,case.load,liberal.vote.total,liberal.vote.pct
1996,AMKennedy,0.846,5,9,96,32,0.3333333333333333
1996,DHSouter,-0.335,4,1,96,46,0.4791666666666667
1996,CThomas,3.747,9,1,96,25,0.2604166666666667
1996,RBGinsburg,-0.572,3,0,96,47,0.4895833333333333
1996,SGBreyer,-0.705,2,0,96,52,0.5416666666666666
1997,WHRehnquist,1.654,7,0,102,37,0.3627450980392157
1997,JPStevens,-3.324,1,1,102,57,0.5588235294117647
1997,SDOConnor,1.073,6,1,102,34,0.3333333333333333
1997,AScalia,3.415,8,0,102,32,0.3137254901960784
1997,AMKennedy,0.808,5,9,102,38,0.37254901960784315
1997,DHSouter,-0.458,4,0,102,55,0.5392156862745098
1997,CThomas,3.731,9,1,102,28,0.27450980392156865
1997,RBGinsburg,-0.768,2,1,102,53,0.5196078431372549
1997,SGBreyer,-0.765,3,2,102,53,0.5196078431372549
1998,WHRehnquist,1.848,7,0,92,21,0.22826086956521738
1998,JPStevens,-3.323,1,0,92,60,0.6521739130434783
1998,SDOConnor,0.958,6,3,92,27,0.29347826086956524
1998,AScalia,3.392,8,0,92,24,0.2608695652173913
1998,AMKennedy,0.912,5,10,92,29,0.31521739130434784
1998,DHSouter,-0.585,4,1,92,45,0.4891304347826087
1998,CThomas,3.76,9,1,92,21,0.22826086956521738
1998,RBGinsburg,-0.923,2,0,92,47,0.5108695652173914
1998,SGBreyer,-0.744,3,0,92,44,0.4782608695652174
1999,WHRehnquist,1.708,7,0,85,33,0.38823529411764707
1999,JPStevens,-3.279,1,0,85,68,0.8
1999,SDOConnor,0.863,5,13,85,38,0.4470588235294118
1999,AScalia,3.472,8,1,85,31,0.36470588235294116
1999,AMKennedy,1.065,6,0,85,37,0.43529411764705883
1999,DHSouter,-0.981,3,0,84,59,0.7023809523809523
1999,CThomas,3.707,9,4,85,32,0.3764705882352941
1999,RBGinsburg,-1.316,2,1,85,59,0.6941176470588235
1999,SGBreyer,-0.79,4,0,85,52,0.611764705882353
2000,WHRehnquist,1.646,7,0,87,31,0.3563218390804598
2000,JPStevens,-3.109,1,1,87,58,0.6666666666666666
2000,SDOConnor,0.582,5,17,86,38,0.4418604651162791
2000,AScalia,3.455,8,0,87,28,0.3218390804597701
2000,AMKennedy,0.945,6,3,87,38,0.4367816091954023
2000,DHSouter,-1.231,4,1,87,56,0.6436781609195402
2000,CThomas,3.732,9,2,87,29,0.3333333333333333
2000,RBGinsburg,-1.532,2,1,87,58,0.6666666666666666
2000,SGBreyer,-1.244,3,0,87,56,0.6436781609195402
2001,WHRehnquist,1.4,7,1,85,22,0.25882352941176473
2001,JPStevens,-3.004,1,1,85,50,0.5882352941176471
2001,SDOConnor,0.357,5,12,85,31,0.36470588235294116
2001,AScalia,3.293,8,0,85,19,0.2235294117647059
2001,AMKennedy,1.035,6,0,85,28,0.32941176470588235
2001,DHSouter,-1.414,3,0,85,46,0.5411764705882353
2001,CThomas,3.702,9,4,85,24,0.2823529411764706
2001,RBGinsburg,-1.642,2,0,85,44,0.5176470588235295
2001,SGBreyer,-1.315,4,2,85,41,0.4823529411764706
2002,WHRehnquist,1.226,7,2,84,25,0.2976190476190476
2002,JPStevens,-2.89,1,1,84,46,0.5476190476190477
2002,SDOConnor,0.245,5,9,84,32,0.38095238095238093
2002,AScalia,2.983,8,0,84,18,0.21428571428571427
2002,AMKennedy,0.877,6,0,84,27,0.32142857142857145
2002,DHSouter,-1.528,3,0,84,42,0.5
2002,CThomas,3.844,9,2,84,17,0.20238095238095238
2002,RBGinsburg,-1.698,2,0,84,43,0.5119047619047619
2002,SGBreyer,-1.314,4,0,84,40,0.47619047619047616
2003,WHRehnquist,1.359,7,0,79,22,0.27848101265822783
2003,JPStevens,-2.873,1,1,79,48,0.6075949367088608
2003,SDOConnor,0.192,5,12,78,28,0.358974358974359
2003,AScalia,2.792,8,0,78,20,0.2564102564102564
